행정구역별,생활밀접업종,대분류,중분류,년,분기,,트렌드지수,반응도,매출,전체점포수,프랜차이즈점포수,일반점포수,개업수,폐업수,개업률,폐업률,최근10년평균영업기간,최근30년평균영업기간
망원1동,외식업/제과점,외식업,제과점,2019,1,망원1동제과점20191,1.38,0.9,590160000,24,6,18,2,2,8.3,8.3,1.9,3.6
망원2동,외식업/제과점,외식업,제과점,2019,1,망원2동제과점20191,1.38,0.9,356580000,18,4,14,2,0,11.1,0,2.7,4
망원1동,외식업/커피·음료,외식업,커피/음료,2019,1,망원1동커피/음료20191,1.35,5.91,1326200000,76,5,71,8,7,10.5,9.2,1.7,2.4
망원2동,외식업/커피·음료,외식업,커피/음료,2019,1,망원2동커피/음료20191,1.35,5.91,676910000,41,4,37,2,3,4.9,7.3,1.8,2.1
망원1동,외식업/호프·간이주점,외식업,호프/간이주점,2019,1,망원1동호프/간이주점20191,0.53,0.27,1935960000,45,6,39,0,3,0,6.7,2.3,4.4
망원2동,외식업/호프·간이주점,외식업,호프/간이주점,2019,1,망원2동호프/간이주점20191,0.53,0.27,542520000,27,5,22,0,1,0,3.7,2.3,4.2
망원1동,외식업/한식음식점,외식업,한식음식점,2019,2,망원1동한식음식점20192,0.76,1.98,4990900000,145,6,139,12,4,8.3,2.8,2.5,4.4
망원2동,외식업/한식음식점,외식업,한식음식점,2019,2,망원2동한식음식점20192,0.76,1.98,2708640000,99,10,89,1,4,1,4,2.4,4.3
망원1동,외식업/중식음식점,외식업,중식음식점,2019,2,망원1동중식음식점20192,0.17,0,367360000,14,0,14,1,1,7.1,7.1,2.2,4
망원2동,외식업/중식음식점,외식업,중식음식점,2019,2,망원2동중식음식점20192,0.17,0,269170000,11,0,11,1,1,9.1,9.1,2.5,4.5
망원1동,외식업/일식음식점,외식업,일식음식점,2019,2,망원1동일식음식점20192,0.37,0,1051540000,29,0,29,4,0,13.8,0,1.8,2.6
망원2동,외식업/일식음식점,외식업,일식음식점,2019,2,망원2동일식음식점20192,0.37,0,100240000,7,0,7,2,0,28.6,0,1.2,2.2
망원1동,외식업/양식음식점,외식업,양식음식점,2019,2,망원1동양식음식점20192,0.67,0.23,809200000,35,0,35,3,4,8.6,11.4,1.6,2.3
망원2동,외식업/양식음식점,외식업,양식음식점,2019,2,망원2동양식음식점20192,0.67,0.23,287760000,11,0,11,1,1,9.1,9.1,2,2.9
망원1동,외식업/패스트푸드점,외식업,패스트푸드점,2019,2,망원1동패스트푸드점20192,0.5,1.33,739050000,13,9,4,0,1,0,7.7,3,5.9
망원2동,외식업/패스트푸드점,외식업,패스트푸드점,2019,2,망원2동패스트푸드점20192,0.5,1.33,296720000,8,3,5,1,0,12.5,0,2.4,4.2
망원1동,외식업/제과점,외식업,제과점,2019,2,망원1동제과점20192,1.12,0.5,489250000,25,7,18,1,1,4,4,2.2,3.5
망원2동,외식업/제과점,외식업,제과점,2019,2,망원2동제과점20192,1.12,0.5,373500000,18,3,15,1,0,5.6,0,2.6,4
망원1동,외식업/커피·음료,외식업,커피/음료,2019,2,망원1동커피/음료20192,1.18,4.1,1537990000,83,5,78,14,7,16.9,8.4,1.7,2.3
망원2동,외식업/커피·음료,외식업,커피/음료,2019,2,망원2동커피/음료20192,1.18,4.1,772380000,42,5,37,3,3,7.1,7.1,1.9,2.3
망원1동,외식업/호프·간이주점,외식업,호프/간이주점,2019,2,망원1동호프/간이주점20192,0.57,0.46,1670180000,42,5,37,2,3,4.8,7.1,2.3,4.3
망원2동,외식업/호프·간이주점,외식업,호프/간이주점,2019,2,망원2동호프/간이주점20192,0.57,0.46,738760000,28,5,23,1,0,3.6,0,2.4,4.2
